Produto;Categoria;Preço;Quantidade;Região;Mês;Receita Total;Mês_Num;Ticket Médio
Guitarra;Cordas;1500;12;Sul;Janeiro;18000;1;1500.0
Teclado;Teclas;2000;8;Sudeste;Janeiro;16000;1;2000.0
Bateria;Percussão;3500;5;Nordeste;Janeiro;17500;1;3500.0
Violino;Cordas;1200;10;Sul;Fevereiro;12000;2;1200.0
Cajón;Percussão;800;15;Norte;Fevereiro;12000;2;800.0
Piano;Teclas;5000;3;Sudeste;Março;15000;3;5000.0
Guitarra;Cordas;1500;9;Sul;Março;13500;3;1500.0
Teclado;Teclas;2000;6;Nordeste;Abril;12000;4;2000.0
Bateria;Percussão;3500;4;Norte;Abril;14000;4;3500.0
Violino;Cordas;1200;7;Sudeste;Maio;8400;5;1200.0
Cajón;Percussão;800;12;Sul;Maio;9600;5;800.0
Piano;Teclas;5000;2;Nordeste;Junho;10000;6;5000.0
Guitarra;Cordas;1500;11;Norte;Junho;16500;6;1500.0
Teclado;Teclas;2000;10;Sudeste;Julho;20000;7;2000.0
Bateria;Percussão;3500;6;Sul;Julho;21000;7;3500.0
Violino;Cordas;1200;8;Nordeste;Agosto;9600;8;1200.0
Cajón;Percussão;800;14;Sudeste;Agosto;11200;8;800.0
Piano;Teclas;5000;4;Norte;Setembro;20000;9;5000.0
Guitarra;Cordas;1500;7;Sul;Setembro;10500;9;1500.0
Teclado;Teclas;2000;5;Nordeste;Outubro;10000;10;2000.0
Bateria;Percussão;3500;3;Sudeste;Outubro;10500;10;3500.0
Violino;Cordas;1200;9;Norte;Novembro;10800;11;1200.0
Cajón;Percussão;800;10;Sul;Novembro;8000;11;800.0
Piano;Teclas;5000;2;Sudeste;Dezembro;10000;12;5000.0
Guitarra;Cordas;1500;8;Nordeste;Dezembro;12000;12;1500.0
